ID,RADEG,DECDEG,CLASS,DATATABLE,i,g
B140D,9.1282583,41.3646694,4.0,m31rbcV5,18.081,19.535
B141D,9.1291458,41.4773833,4.0,m31rbcV5,17.534,18.912
SK031C,9.130958333333332,42.10683333333333,4.0,m31rbcV5,19.256,20.436
SK013D,9.131075,41.019325,6.0,m31rbcV5,23.086,24.096
SK013B,9.13208333333333,41.194805555555554,4.0,m31rbcV5,18.645,20.081
HEC3,9.1321708,44.7379694,8.0,m31rbcV5,23.06,23.531
SK014B,9.1361417,40.62975,6.0,m31rbcV5,22.967,24.598
B294,9.1372833,40.4148528,4.0,m31rbcV5,21.69,22.885
SK032C,9.138999999999998,41.50086111111112,4.0,m31rbcV5,19.385,20.967
SK001A,9.1396792,40.6625111,6.0,m31rbcV5,23.935,24.642
B142D,9.140962499999995,41.15221111111111,4.0,m31rbcV5,19.255,20.425
SK014D,9.144625,41.7126667,6.0,m31rbcV5,24.39,25.188
SK002A,9.145791666666664,41.01888888888889,6.0,huxor14_table2,24.006,25.073
B143D,9.1486875,40.4709056,4.0,m31rbcV5,19.058,20.129
B144D,9.15269583333333,41.61768055555556,6.0,m31rbcV5,24.775,25.563
SK033C,9.157875,42.24616666666667,4.0,m31rbcV5,18.051,19.753
B145D,9.161525,42.2745917,6.0,m31rbcV5,24.75,25.294
2M020,9.1714167,37.5815,4.0,m31rbcV5,18.338,19.788
SK015D,9.1763333,41.7543056,6.0,m31rbcV5,22.987,26.029
B146D,9.1767625,41.6388667,4.0,m31rbcV5,21.78,23.126
SK034C,9.180916666666665,39.58227777777778,4.0,m31rbcV5,22.07,23.535
B147D,9.1851708,41.1407361,4.0,m31rbcV5,19.409,20.221
SK016D,9.187975,41.0135444,6.0,m31rbcV5,19.989,22.031
SK017D,9.19125,41.7106111,6.0,m31rbcV5,23.602,24.213
SK018D,9.1934583,41.3481667,6.0,m31rbcV5,22.118,23.751
SK035C,9.194416666666664,41.43997222222222,4.0,m31rbcV5,19.562,21.091
B295,9.1947208,40.3283639,1.0,m31rbcV5,21.189,21.885
B296,9.1953625,40.5131083,4.0,m31rbcV5,19.626,20.965
SK036C,9.196666666666664,40.06930555555556,4.0,m31rbcV5,18.913,20.621
SK019D,9.2030833,42.1033056,6.0,m31rbcV5,25.128,26.208
SK020D,9.2040417,41.7080556,6.0,m31rbcV5,22.345,23.691
SK037C,9.204958333333332,39.66213888888889,4.0,m31rbcV5,18.234,19.873
B148D,9.2090542,41.1196444,4.0,m31rbcV5,20.143,20.867
B415,9.2127083,40.5106778,4.0,m31rbcV5,18.897,19.606
B297,9.2144667,39.6438611,4.0,m31rbcV5,17.945,18.958
SK038C,9.2208208,39.6449194,6.0,m31rbcV5,19.706,21.38
B149D,9.2335125,40.1478222,4.0,m31rbcV5,22.469,23.626
SK021D,9.2393333,40.65825,6.0,m31rbcV5,23.041,24.098
B150D,9.2496542,41.42505,1.0,m31rbcV5,23.743,25.406
SK022D,9.2505,42.0766389,6.0,m31rbcV5,24.393,24.77
SK039C,9.254083333333332,39.55766666666666,6.0,m31rbcV5,24.111,25.489
2M021,9.2552083,37.6445278,4.0,m31rbcV5,18.794,20.338
B416,9.2559708,39.8097194,4.0,m31rbcV5,18.055,19.514
B151D,9.2594417,39.8014111,4.0,m31rbcV5,18.122,19.578
SK040C,9.264166666666666,41.55613888888889,6.0,m31rbcV5,23.651,24.566
SK023D,9.2654167,41.01875,6.0,m31rbcV5,23.33,24.578
SK024D,9.2695417,40.6180833,6.0,m31rbcV5,21.648,22.644
SK041C,9.271166666666666,40.01841666666667,4.0,m31rbcV5,18.701,20.248
SK025D,9.2730833,41.0011667,6.0,m31rbcV5,21.912,23.523
B417,9.2731208,42.0429306,4.0,m31rbcV5,18.138,19.732
SK026D,9.274125,42.0315833,6.0,m31rbcV5,22.385,23.448
B152D,9.2754792,42.4281028,4.0,m31rbcV5,18.562,19.688
SK027D,9.2755417,41.69325,6.0,m31rbcV5,24.31,24.581
SK042C,9.276166666666668,41.746805555555554,4.0,m31rbcV5,18.095,19.417
SK028D,9.2844583,41.7796667,6.0,m31rbcV5,23.077,23.774
SK043C,9.287916666666666,39.81955555555556,6.0,m31rbcV5,22.793,24.15
SK015B,9.2906583,40.1935278,6.0,m31rbcV5,22.356,23.536
SK029D,9.2937083,40.5679167,6.0,m31rbcV5,23.76,24.867
SK044C,9.2940833,40.3306944,6.0,m31rbcV5,23.718,25.266
SK003A,9.2946417,41.688225,6.0,m31rbcV5,22.832,23.773
B153D,9.3023083,39.8380167,6.0,m31rbcV5,22.834,24.072
SK045C,9.3038625,41.4435306,2.0,m31rbcV5,19.161,20.016
SK030D,9.3044583,40.2861111,6.0,m31rbcV5,23.196,24.286
SK031D,9.3063333,41.6495833,6.0,m31rbcV5,23.704,24.385
SK032D,9.3064583,41.96325,6.0,m31rbcV5,24.179,24.969
SK033D,9.3072083,41.7066389,6.0,m31rbcV5,23.163,23.822
B418,9.3240917,40.1142639,4.0,m31rbcV5,18.594,19.981
G018,9.3269042,40.3554333,6.0,m31rbcV5,20.853,22.04
SK016B,9.3294917,40.7969194,6.0,m31rbcV5,23.241,23.962
B154D,9.3360042,42.3137472,4.0,m31rbcV5,17.873,19.249
B155D,9.3575958,40.0817222,4.0,m31rbcV5,18.049,19.627
B156D,9.359675,41.3173028,4.0,m31rbcV5,23.982,25.241
B419,9.3634417,39.7190972,4.0,m31rbcV5,19.101,20.104
H11,9.3667833,44.1906694,1.0,m31rbcV5,21.565,22.387
B420,9.3684958,41.5956278,2.0,m31rbcV5,23.065,24.468
SK046C,9.370541666666666,41.91719444444444,4.0,m31rbcV5,21.704,22.208
DAO11,9.3715792,39.9503389,4.0,m31rbcV5,24.226,25.032
2M022,9.3759583,36.4374722,4.0,m31rbcV5,23.035,23.727
SK017B,9.376833333333332,40.61216666666667,4.0,m31rbcV5,18.358,19.72
SK018B,9.378416666666666,40.30663888888888,4.0,m31rbcV5,19.057,20.264
B421,9.3867708,41.1251861,4.0,m31rbcV5,18.48,18.987
SK019B,9.3894875,40.0915194,2.0,m31rbcV5,18.726,20.2
SK047C,9.3895708,40.6247528,6.0,m31rbcV5,24.402,25.414
B157D,9.3969625,40.9645417,2.0,m31rbcV5,18.102,19.355
SK020B,9.3987292,40.5875194,2.0,m31rbcV5,18.753,20.426
B158D,9.4029958,39.8364028,4.0,m31rbcV5,18.248,18.932
SK034D,9.403875,41.0058333,6.0,m31rbcV5,23.934,24.865
SK048C,9.405,40.09433333333334,4.0,m31rbcV5,22.307,23.738
SK049C,9.405291666666663,41.90122222222222,4.0,m31rbcV5,19.123,21.347
C12,9.406249999999998,25.14583333333333,2.0,di_tullio_zinn_13_table2,24.636,24.513
B422,9.4102375,41.9998028,1.0,m31rbcV5,18.241,19.086
DAO12,9.4147833,39.7752472,4.0,m31rbcV5,18.051,19.728
SK050C,9.421958333333333,40.07858333333333,4.0,m31rbcV5,18.704,20.3
SK051C,9.424125,40.08833333333334,4.0,m31rbcV5,18.815,20.276
SK035D,9.4243333,41.0120556,6.0,m31rbcV5,24.064,24.542
B159D,9.4420042,40.0868639,4.0,m31rbcV5,17.974,19.514
B160D,9.460825,40.1777278,4.0,m31rbcV5,21.015,22.644
